timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:16:55.350822Z	9	snapshot_gap	23	76	116	4	87	58	51	5	2	26	7	4	3	0	0	512	0	disabled	0
2026-06-30T00:16:55.434664Z	7	prediction_correction	29	145	82	49	91	44	55	10	1	150	10	7	4	1	0	768	0	tracking	1
2026-06-30T00:17:05.334404Z	9	snapshot_gap	80	80	108	33	67	25	49	4	2	9	2	1	3	0	0	768	0	disabled	0
2026-06-30T00:17:05.490493Z	7	prediction_correction	31	71	75	6	80	80	50	9	1	17	6	5	3	0	0	768	0	tracking	1
2026-06-30T00:17:15.338542Z	9	snapshot_gap	27	27	107	8	109	67	47	3	1	9	2	1	3	0	0	768	0	disabled	0
2026-06-30T00:17:15.494865Z	7	prediction_correction	33	33	77	3	77	31	49	4	1	17	6	4	3	0	0	768	0	tracking	1
2026-06-30T00:17:25.378883Z	9	snapshot_gap	13	66	112	4	63	17	47	6	2	9	2	1	4	1	0	768	0	disabled	0
2026-06-30T00:17:25.502177Z	7	prediction_correction	29	79	66	7	77	70	49	9	2	17	5	4	3	0	0	1024	0	tracking	1
2026-06-30T00:17:35.340327Z	9	snapshot_gap	11	59	108	4	100	62	47	7	1	9	2	1	3	0	0	1024	0	disabled	0
2026-06-30T00:17:35.502692Z	7	prediction_correction	71	73	68	1	80	44	44	5	1	17	6	5	3	0	0	1024	0	tracking	1
2026-06-30T00:17:45.336550Z	9	snapshot_gap	17	17	121	59	101	76	47	14	2	9	2	1	3	0	0	1024	0	disabled	0
2026-06-30T00:17:45.568557Z	7	prediction_correction	25	30	70	6	77	76	47	7	2	17	6	5	3	0	0	1024	0	resyncing	1
2026-06-30T00:17:55.354972Z	9	command_server_queue	117	117	108	51	88	58	79	6	2	9	2	1	3	0	0	1280	0	disabled	0
2026-06-30T00:17:55.569055Z	7	prediction_correction	26	72	69	10	80	34	49	8	2	17	5	4	3	0	0	1024	0	tracking	1
2026-06-30T00:18:05.345696Z	9	snapshot_gap	9	35	122	48	111	111	48	10	2	9	2	1	4	0	0	1280	0	disabled	0
