timestamp	tick	tick_ms	sim_ms	scheduler_lag_ms	entities	units	buildings	slowest_phase	slowest_phase_ms
2026-06-30T00:20:13.608813Z	6313	104	103	1	171	53	28	awaiting_paths	98
2026-06-30T00:20:32.101946Z	6871	117	117	0	182	58	34	awaiting_paths	112
2026-06-30T00:20:38.671836Z	7070	53	53	0	190	63	37	awaiting_paths	48
2026-06-30T00:20:39.253178Z	7087	74	74	0	190	63	37	awaiting_paths	69
2026-06-30T00:20:52.426232Z	7485	79	79	1	195	65	40	awaiting_paths	74
2026-06-30T00:22:22.811335Z	10224	43	42	0	239	82	67	awaiting_paths	35
2026-06-30T00:22:36.636391Z	10642	74	74	0	249	84	75	awaiting_paths	68
2026-06-30T00:22:36.807127Z	10646	80	79	0	249	84	75	awaiting_paths	74
2026-06-30T00:24:59.434716Z	14967	79	78	0	298	118	90	awaiting_paths	46
2026-06-30T00:28:39.322987Z	21630	50	49	0	346	129	127	promoted_awaiting_paths	43
2026-06-30T00:32:26.760849Z	28522	47	45	1	362	128	161	awaiting_paths	36
2026-06-30T00:35:52.914804Z	34769	46	46	0	302	101	142	awaiting_paths	39
2026-06-30T00:36:55.645146Z	36670	43	42	0	292	97	138	awaiting_paths	36
2026-06-30T00:37:31.711813Z	37763	40	39	0	296	99	140	awaiting_paths	34
2026-06-30T00:37:51.033210Z	38348	55	54	1	296	101	139	awaiting_paths	43
2026-06-30T00:38:49.802600Z	40129	51	50	0	292	95	141	promote_queued_orders	45
2026-06-30T00:39:03.485490Z	40542	105	104	0	288	94	138	awaiting_paths	96
2026-06-30T00:40:45.721829Z	43632	303	302	0	273	82	135	awaiting_paths	297
